,si,sj,ei,ej,rij
134,0.339967,0.325,0.359824,0.71128,0.45851849471967815
135,0.339967,0.325,0.359824,0.71128,0.7413465114236388
136,0.339967,0.325,0.359824,0.71128,0.5698178656377839
137,0.339967,0.325,0.359824,0.71128,0.6748042308699604
138,0.339967,0.325,0.359824,0.71128,0.7086845701720896
139,0.339967,0.325,0.359824,0.71128,0.6599395351090888
140,0.339967,0.325,0.359824,0.71128,0.49688536907419634
141,0.339967,0.325,0.359824,0.71128,0.5893995758396846
142,0.339967,0.325,0.359824,0.71128,0.347956117922936
143,0.339967,0.325,0.359824,0.71128,0.3169708819434361
144,0.339967,0.325,0.359824,0.71128,0.463216439690992
145,0.339967,0.325,0.359824,0.71128,0.5268343762512077
146,0.339967,0.325,0.359824,0.71128,0.2669374083938012
147,0.339967,0.325,0.359824,0.71128,0.29085615001233733
148,0.339967,0.325,0.359824,0.71128,0.2616546196802185
149,0.339967,0.325,0.359824,0.71128,0.2055613047244048
150,0.339967,0.325,0.359824,0.71128,0.3663919349549049
151,0.339967,0.325,0.359824,0.71128,0.33155859210703564
152,0.339967,0.325,0.359824,0.71128,0.5433316022467295
153,0.339967,0.325,0.359824,0.71128,0.6831779416813746
154,0.339967,0.325,0.359824,0.71128,0.7560320495852001
155,0.339967,0.325,0.359824,0.71128,0.850563395638443
156,0.339967,0.325,0.359824,0.71128,0.7716936892316796
157,0.339967,0.325,0.359824,0.71128,0.9137681872334998
158,0.339967,0.325,0.359824,0.71128,0.9634885520855957
159,0.339967,0.325,0.359824,0.71128,0.9957609401859449
160,0.339967,0.325,0.359824,0.71128,0.7008824437806948
161,0.339967,0.325,0.359824,0.71128,0.7799518254353912
162,0.339967,0.325,0.359824,0.71128,0.749052775176755
163,0.339967,0.325,0.359824,0.71128,0.523898043516101
164,0.339967,0.325,0.359824,0.71128,0.7429914131401503
165,0.339967,0.325,0.359824,0.71128,0.8388268832125014
166,0.339967,0.325,0.359824,0.71128,0.8251833129674876
167,0.339967,0.325,0.359824,0.71128,0.9317482385279836
168,0.339967,0.325,0.359824,0.71128,0.8588874373280819
169,0.339967,0.325,0.359824,0.71128,0.9452544101986499
170,0.339967,0.325,0.359824,0.71128,1.0468867035166687
171,0.339967,0.325,0.359824,0.71128,0.9956934317348883
172,0.339967,0.325,0.359824,0.71128,1.0162988044861607
173,0.339967,0.325,0.359824,0.71128,1.082221238934072
174,0.339967,0.325,0.359824,0.71128,0.9881736740067504
175,0.339967,0.325,0.359824,0.71128,0.9357023778958766
176,0.339967,0.325,0.359824,0.71128,0.923540221105718
177,0.339967,0.325,0.359824,0.71128,0.7691755456331146
178,0.339967,0.325,0.359824,0.71128,0.6841544050870387
179,0.339967,0.325,0.359824,0.71128,0.8976699950427202
180,0.339967,0.325,0.359824,0.71128,1.0059525883459899
181,0.339967,0.325,0.359824,0.71128,1.0727408494133144
182,0.339967,0.325,0.359824,0.71128,0.9616403381722289
183,0.339967,0.325,0.359824,0.71128,1.1132094546849662
184,0.339967,0.325,0.359824,0.71128,1.1142588972047736
185,0.339967,0.325,0.359824,0.71128,0.9543598377970439
186,0.339967,0.325,0.359824,0.71128,1.0166011656495377
187,0.339967,0.325,0.359824,0.71128,0.7162470314074597
188,0.339967,0.325,0.359824,0.71128,0.7449547972863858
189,0.339967,0.325,0.359824,0.71128,0.8017887814131601
190,0.339967,0.325,0.359824,0.71128,0.8938304649093132
191,0.339967,0.325,0.359824,0.71128,0.6401696493899095
192,0.339967,0.325,0.359824,0.71128,0.5794949956643283
193,0.339967,0.325,0.359824,0.71128,0.5310113934747538
194,0.339967,0.325,0.359824,0.71128,0.6226091390270466
195,0.339967,0.325,0.359824,0.71128,0.4212031101499604
196,0.339967,0.325,0.359824,0.71128,0.8325739066293151
197,0.339967,0.325,0.359824,0.71128,0.7074194865848691
198,0.339967,0.325,0.359824,0.71128,0.573274620055693
199,0.339967,0.325,0.359824,0.71128,0.5135259487114534
200,0.339967,0.325,0.359824,0.71128,0.6696718076789543
201,0.339967,0.325,0.359824,0.71128,0.6302600574366104
202,0.339967,0.325,0.359824,0.71128,0.7743854983146296
203,0.339967,0.325,0.359824,0.71128,0.8552096234257419
204,0.339967,0.325,0.359824,0.71128,1.000676676054758
205,0.339967,0.325,0.359824,0.71128,1.0862471035634573
206,0.339967,0.325,0.359824,0.71128,0.8363570110903581
207,0.339967,0.325,0.359824,0.71128,0.740799986501079
208,0.339967,0.325,0.359824,0.71128,0.706004681287596
209,0.339967,0.325,0.359824,0.71128,0.8311597499879301
210,0.339967,0.325,0.359824,0.71128,0.8459501935693365
211,0.339967,0.325,0.359824,0.71128,0.9355488923621239
212,0.339967,0.325,0.359824,0.71128,0.8147863094087917
213,0.339967,0.325,0.359824,0.71128,0.6550735912857417
214,0.339967,0.325,0.359824,0.71128,0.6937496522521632
215,0.339967,0.325,0.359824,0.71128,0.7142398686715817
216,0.339967,0.325,0.359824,0.71128,0.6258579790974934
217,0.339967,0.325,0.359824,0.71128,0.7987027106502137
218,0.339967,0.325,0.359824,0.71128,0.8857547516101729
219,0.339967,0.325,0.359824,0.71128,0.909299307159089
220,0.339967,0.325,0.359824,0.71128,0.7847569114063275
221,0.339967,0.325,0.359824,0.71128,1.039232447530387
222,0.339967,0.325,0.359824,0.71128,0.9812840465430982
223,0.339967,0.325,0.359824,0.71128,1.0739425031164371
224,0.339967,0.325,0.359824,0.71128,1.1192927186397654
225,0.339967,0.325,0.359824,0.71128,1.0979849042678131
226,0.339967,0.325,0.359824,0.71128,1.0462868296982413
227,0.339967,0.325,0.359824,0.71128,1.09092942943162
228,0.339967,0.325,0.359824,0.71128,1.0086466477414175
229,0.339967,0.325,0.359824,0.71128,0.8586669494047147
230,0.339967,0.325,0.359824,0.71128,1.057846416073713
231,0.339967,0.325,0.359824,0.71128,0.9454300714489671
232,0.339967,0.325,0.359824,0.71128,1.0865529853624254
233,0.339967,0.325,0.359824,0.71128,0.8106273311454518
234,0.339967,0.325,0.359824,0.71128,1.0543734822158604
235,0.339967,0.325,0.359824,0.71128,0.7980305570590636
236,0.339967,0.325,0.359824,0.71128,0.8959557187718595
237,0.339967,0.325,0.359824,0.71128,1.0988267333842943
238,0.339967,0.325,0.359824,0.71128,1.1022041779997025
239,0.339967,0.325,0.359824,0.71128,0.9723019335576779
240,0.339967,0.325,0.359824,0.71128,0.862222697451186
241,0.339967,0.325,0.359824,0.71128,0.8133251317892494
242,0.339967,0.325,0.359824,0.71128,0.9611956564612639
243,0.339967,0.325,0.359824,0.71128,0.939413694811822
244,0.339967,0.325,0.359824,0.71128,1.042751221528893
245,0.339967,0.325,0.359824,0.71128,0.8201037495341666
246,0.339967,0.325,0.359824,0.71128,0.8758706582595398
247,0.339967,0.325,0.359824,0.71128,0.6845251931083326
248,0.339967,0.325,0.359824,0.71128,1.0100512907768593
249,0.339967,0.325,0.359824,0.71128,0.8141098758767142
250,0.339967,0.325,0.359824,0.71128,0.6035630870091374
251,0.339967,0.325,0.359824,0.71128,0.6787721046124388
252,0.339967,0.325,0.359824,0.71128,0.9844431166908527
253,0.339967,0.325,0.359824,0.71128,1.064754459957787
254,0.339967,0.325,0.359824,0.71128,0.8923558819215565
255,0.339967,0.325,0.359824,0.71128,0.6597156811839474
