,si,sj,ei,ej,rij
51,0.339967,0.325,0.359824,0.71128,1.017404167477212
52,0.339967,0.325,0.359824,0.71128,1.0336730140619903
53,0.339967,0.325,0.359824,0.71128,1.0918188723410132
54,0.339967,0.325,0.359824,0.71128,1.0041496950156379
55,0.339967,0.325,0.359824,0.71128,0.9908379332665859
56,0.339967,0.325,0.359824,0.71128,0.9846646789643673
57,0.339967,0.325,0.359824,0.71128,0.8869178823318428
58,0.339967,0.325,0.359824,0.71128,0.9352716717617401
59,0.339967,0.325,0.359824,0.71128,0.9648125258307966
60,0.339967,0.325,0.359824,0.71128,1.080551715560158
61,0.339967,0.325,0.359824,0.71128,1.040268412478241
62,0.339967,0.325,0.359824,0.71128,1.0872137094426277
63,0.339967,0.325,0.359824,0.71128,0.9785116759650846
64,0.339967,0.325,0.359824,0.71128,0.994019939437836
65,0.339967,0.325,0.359824,0.71128,0.8734456880653769
66,0.339967,0.325,0.359824,0.71128,0.9553695253670174
67,0.339967,0.325,0.359824,0.71128,1.128154980488053
68,0.339967,0.325,0.359824,0.71128,1.0256423450696646
69,0.339967,0.325,0.359824,0.71128,1.0877871528934333
70,0.339967,0.325,0.359824,0.71128,0.758070293574415
71,0.339967,0.325,0.359824,0.71128,0.6586332059652019
72,0.339967,0.325,0.359824,0.71128,0.7222129879751549
73,0.339967,0.325,0.359824,0.71128,0.7659556906244639
74,0.339967,0.325,0.359824,0.71128,0.5248214744082026
75,0.339967,0.325,0.359824,0.71128,0.484543847345109
76,0.339967,0.325,0.359824,0.71128,0.3518011370078273
77,0.339967,0.325,0.359824,0.71128,0.5217303326432159
78,0.339967,0.325,0.359824,0.71128,0.66276089957088
79,0.339967,0.325,0.359824,0.71128,0.4590746562379596
80,0.339967,0.325,0.359824,0.71128,0.5564865676725717
81,0.339967,0.325,0.359824,0.71128,0.568016056111093
82,0.339967,0.325,0.359824,0.71128,0.27206657273542506
83,0.339967,0.325,0.359824,0.71128,0.3582744897421529
84,0.339967,0.325,0.359824,0.71128,0.376235218978766
85,0.339967,0.325,0.359824,0.71128,0.5846531022751871
86,0.339967,0.325,0.359824,0.71128,0.4469693949254244
87,0.339967,0.325,0.359824,0.71128,0.5952009240584215
88,0.339967,0.325,0.359824,0.71128,0.7408976515012046
89,0.339967,0.325,0.359824,0.71128,0.7668036124067242
90,0.339967,0.325,0.359824,0.71128,0.8593658475876279
91,0.339967,0.325,0.359824,0.71128,0.9837377953499602
92,0.339967,0.325,0.359824,0.71128,1.045368633545124
93,0.339967,0.325,0.359824,0.71128,0.8969992753620273
94,0.339967,0.325,0.359824,0.71128,1.0413291650578127
95,0.339967,0.325,0.359824,0.71128,0.8645970448711926
96,0.339967,0.325,0.359824,0.71128,0.8336858700973663
97,0.339967,0.325,0.359824,0.71128,0.8604167652945862
98,0.339967,0.325,0.359824,0.71128,1.0802239304884886
99,0.339967,0.325,0.359824,0.71128,1.1006855363817596
100,0.339967,0.325,0.359824,0.71128,1.0642013625249687
101,0.339967,0.325,0.359824,0.71128,0.9281913326464544
102,0.339967,0.325,0.359824,0.71128,0.7559603561034124
103,0.339967,0.325,0.359824,0.71128,1.0431570255718943
104,0.339967,0.325,0.359824,0.71128,1.0091994153783495
105,0.339967,0.325,0.359824,0.71128,1.0771549470712187
106,0.339967,0.325,0.359824,0.71128,1.0904295529744228
107,0.339967,0.325,0.359824,0.71128,1.0838225869578464
108,0.339967,0.325,0.359824,0.71128,1.0009896403060334
109,0.339967,0.325,0.359824,0.71128,1.0346661200599943
110,0.339967,0.325,0.359824,0.71128,0.9692459130685049
111,0.339967,0.325,0.359824,0.71128,0.8965702761077906
112,0.339967,0.325,0.359824,0.71128,1.0328019655287273
113,0.339967,0.325,0.359824,0.71128,1.0164635359913305
114,0.339967,0.325,0.359824,0.71128,1.0110150394529256
115,0.339967,0.325,0.359824,0.71128,1.0162143966703083
116,0.339967,0.325,0.359824,0.71128,0.8608175532596899
117,0.339967,0.325,0.359824,0.71128,1.0012906920570084
118,0.339967,0.325,0.359824,0.71128,0.9889398515582244
119,0.339967,0.325,0.359824,0.71128,1.0060799222725807
120,0.339967,0.325,0.359824,0.71128,0.9161941333582084
121,0.339967,0.325,0.359824,0.71128,1.0016757409461408
122,0.339967,0.325,0.359824,0.71128,0.9151095726742244
123,0.339967,0.325,0.359824,0.71128,0.8174526530631611
124,0.339967,0.325,0.359824,0.71128,0.9698498852915329
125,0.339967,0.325,0.359824,0.71128,0.9169026720432221
126,0.339967,0.325,0.359824,0.71128,1.1311327640909354
127,0.339967,0.325,0.359824,0.71128,1.0376032912438167
128,0.339967,0.325,0.359824,0.71128,1.0681754397101633
129,0.339967,0.325,0.359824,0.71128,1.064214809143343
130,0.339967,0.325,0.359824,0.71128,0.9975032431024974
131,0.339967,0.325,0.359824,0.71128,0.9904254540347797
132,0.339967,0.325,0.359824,0.71128,1.1021159920806896
133,0.339967,0.325,0.359824,0.71128,1.1178617669461635
134,0.339967,0.325,0.359824,0.71128,1.0353035931551682
135,0.339967,0.325,0.359824,0.71128,1.0461689108361043
136,0.339967,0.325,0.359824,0.71128,0.9062518468946705
137,0.339967,0.325,0.359824,0.71128,0.8022197828525565
138,0.339967,0.325,0.359824,0.71128,0.8870101352295822
139,0.339967,0.325,0.359824,0.71128,1.0429141383642289
140,0.339967,0.325,0.359824,0.71128,1.1142921923804372
141,0.339967,0.325,0.359824,0.71128,1.05876883690445
142,0.339967,0.325,0.359824,0.71128,0.9160850451786671
