,phi,psi,prob
202,-158.99921083333334,-44.99678750000001,4.607445632141541e-05
203,-158.99921083333334,-38.99687583333335,1.974619556632089e-05
204,-158.99921083333334,-32.996964166666686,3.291032594386815e-05
205,-158.99921083333334,-26.997052500000024,3.291032594386815e-05
206,-158.99921083333334,-20.99714083333336,7.240271707650992e-05
207,-158.99921083333334,-14.997229166666685,6.5820651887736295e-06
208,-158.99921083333334,-8.997317500000008,3.291032594386815e-05
209,-158.99921083333334,-2.997405833333346,1e-12
210,-158.99921083333334,3.0025058333333163,5.2656521510189036e-05
211,-158.99921083333334,9.002417499999979,6.5820651887736295e-06
212,-158.99921083333334,15.002329166666641,6.5820651887736295e-06
213,-158.99921083333334,21.002240833333303,1e-12
214,-158.99921083333334,27.002152499999966,3.291032594386815e-05
215,-158.99921083333334,33.00206416666663,1.3164130377547259e-05
216,-158.99921083333334,39.001975833333304,3.949239113264178e-05
217,-158.99921083333334,45.00188749999998,4.607445632141541e-05
218,-158.99921083333334,51.00179916666664,1.974619556632089e-05
219,-158.99921083333334,57.001710833333306,3.949239113264178e-05
220,-158.99921083333334,63.00162249999997,6.5820651887736295e-06
221,-158.99921083333334,69.00153416666663,5.2656521510189036e-05
222,-158.99921083333334,75.0014458333333,6.58206518877363e-05
223,-158.99921083333334,81.00135749999998,9.214891264283081e-05
224,-158.99921083333334,87.00126916666665,9.873097783160445e-05
225,-158.99921083333334,93.00118083333331,0.00010531304302037807
226,-158.99921083333334,99.00109249999997,0.00011189510820915171
227,-158.99921083333334,105.00100416666663,0.00026986467273971883
228,-158.99921083333334,111.0009158333333,0.0001974619556632089
229,-158.99921083333334,117.00082749999996,0.0002040440208519825
230,-158.99921083333334,123.00073916666662,0.00034884945500500235
231,-158.99921083333334,129.00065083333328,0.00031593912906113423
232,-158.99921083333334,135.00056249999994,0.0005265652151018904
233,-158.99921083333334,141.0004741666666,0.0006384603233110421
234,-158.99921083333334,147.00038583333327,0.001244010320678216
235,-158.99921083333334,153.00029749999996,0.00163235216681586
236,-158.99921083333334,159.00020916666665,0.0020404402085198252
237,-158.99921083333334,165.0001208333333,0.0015599494497393503
238,-158.99921083333334,171.00003249999997,0.0011518614080353851
239,-158.99921083333334,176.99994416666664,0.0008819967352956664
240,-152.99924249999998,-176.99484416666667,0.00038834184613764416
241,-152.99924249999998,-170.9949325,0.00016455162971934075
242,-152.99924249999998,-164.99502083333334,0.00014480543415301984
243,-152.99924249999998,-158.99510916666668,0.00015796956453056711
244,-152.99924249999998,-152.99519750000002,5.2656521510189036e-05
245,-152.99924249999998,-146.99528583333333,3.949239113264178e-05
246,-152.99924249999998,-140.99537416666666,0.00010531304302037807
247,-152.99924249999998,-134.9954625,3.949239113264178e-05
248,-152.99924249999998,-128.99555083333334,1.974619556632089e-05
249,-152.99924249999998,-122.99563916666668,6.5820651887736295e-06
250,-152.99924249999998,-116.99572750000002,6.5820651887736295e-06
251,-152.99924249999998,-110.99581583333334,1e-12
252,-152.99924249999998,-104.99590416666668,1e-12
253,-152.99924249999998,-98.9959925,1e-12
254,-152.99924249999998,-92.99608083333334,2.6328260755094518e-05
255,-152.99924249999998,-86.99616916666668,1.974619556632089e-05
256,-152.99924249999998,-80.99625750000001,3.291032594386815e-05
257,-152.99924249999998,-74.99634583333335,1e-12
258,-152.99924249999998,-68.99643416666669,6.5820651887736295e-06
259,-152.99924249999998,-62.99652250000001,2.6328260755094518e-05
260,-152.99924249999998,-56.99661083333335,1.974619556632089e-05
261,-152.99924249999998,-50.99669916666668,5.9238586698962664e-05
262,-152.99924249999998,-44.99678750000001,3.949239113264178e-05
263,-152.99924249999998,-38.99687583333335,4.607445632141541e-05
264,-152.99924249999998,-32.996964166666686,6.5820651887736295e-06
265,-152.99924249999998,-26.997052500000024,3.949239113264178e-05
266,-152.99924249999998,-20.99714083333336,5.2656521510189036e-05
267,-152.99924249999998,-14.997229166666685,6.5820651887736295e-06
268,-152.99924249999998,-8.997317500000008,4.607445632141541e-05
269,-152.99924249999998,-2.997405833333346,3.291032594386815e-05
270,-152.99924249999998,3.0025058333333163,5.9238586698962664e-05
271,-152.99924249999998,9.002417499999979,5.9238586698962664e-05
272,-152.99924249999998,15.002329166666641,6.58206518877363e-05
273,-152.99924249999998,21.002240833333303,5.9238586698962664e-05
274,-152.99924249999998,27.002152499999966,3.291032594386815e-05
275,-152.99924249999998,33.00206416666663,3.291032594386815e-05
276,-152.99924249999998,39.001975833333304,1.974619556632089e-05
277,-152.99924249999998,45.00188749999998,5.2656521510189036e-05
278,-152.99924249999998,51.00179916666664,5.9238586698962664e-05
279,-152.99924249999998,57.001710833333306,7.898478226528356e-05
280,-152.99924249999998,63.00162249999997,5.2656521510189036e-05
281,-152.99924249999998,69.00153416666663,9.214891264283081e-05
282,-152.99924249999998,75.0014458333333,0.00011189510820915171
283,-152.99924249999998,81.00135749999998,6.58206518877363e-05
284,-152.99924249999998,87.00126916666665,0.00012505923858669896
285,-152.99924249999998,93.00118083333331,0.00014480543415301984
286,-152.99924249999998,99.00109249999997,0.00011847717339792533
287,-152.99924249999998,105.00100416666663,0.00021720815122952978
288,-152.99924249999998,111.0009158333333,0.00025670054236217156
289,-152.99924249999998,117.00082749999996,0.0002896108683060397
290,-152.99924249999998,123.00073916666662,0.0004607445632141541
291,-152.99924249999998,129.00065083333328,0.0006976989100100047
292,-152.99924249999998,135.00056249999994,0.0006516244536885894
293,-152.99924249999998,141.0004741666666,0.0014085619503975567
294,-152.99924249999998,147.00038583333327,0.0016652624927597282
295,-152.99924249999998,153.00029749999996,0.0018232320572902955
296,-152.99924249999998,159.00020916666665,0.0023892896635248277
297,-152.99924249999998,165.0001208333333,0.001546785319361803
298,-152.99924249999998,171.00003249999997,0.0012110999947343478
299,-152.99924249999998,176.99994416666664,0.0006252961929334948
300,-146.99927416666668,-176.99484416666667,0.0003093570638723606
301,-146.99927416666668,-170.9949325,0.0002040440208519825
302,-146.99927416666668,-164.99502083333334,0.00011847717339792533
303,-146.99927416666668,-158.99510916666668,8.556684745405718e-05
304,-146.99927416666668,-152.99519750000002,0.00010531304302037807
305,-146.99927416666668,-146.99528583333333,6.58206518877363e-05
306,-146.99927416666668,-140.99537416666666,0.00010531304302037807
307,-146.99927416666668,-134.9954625,2.6328260755094518e-05
308,-146.99927416666668,-128.99555083333334,1.974619556632089e-05
309,-146.99927416666668,-122.99563916666668,1.974619556632089e-05
